Compound	Negative	Neutral	Positive
-0.6688	0.157	0.843	0
0.1171	0.149	0.571	0.28
0	0.109	0.781	0.109
0.5719	0	0.793	0.207
0.0428	0.096	0.726	0.178
-0.0516	0.054	0.946	0
0	0	1	0
0.1027	0.131	0.724	0.145
-0.5411	0.164	0.786	0.05
0	0	1	0
0.3802	0	0.909	0.091
0	0	1	0
0.3818	0	0.843	0.157
0.4767	0.088	0.737	0.176
-0.2023	0.101	0.899	0
0	0	1	0
0	0	1	0
0.7717	0	0.438	0.562
0.4019	0	0.816	0.184
0	0	1	0
0.3987	0	0.953	0.047
0.5562	0	0.898	0.102
0.5837	0	0.769	0.231
0.3818	0	0.847	0.153
0.9097	0	0.732	0.268
0.2263	0	0.881	0.119
0	0	1	0
0	0	1	0
-0.2732	0.114	0.822	0.064
-0.2714	0.096	0.904	0
0.6318	0	0.823	0.177
0.7351	0	0.816	0.184
0.3818	0	0.843	0.157
0.6901	0	0.711	0.289
0.4404	0	0.734	0.266
0.6486	0	0.858	0.142
0	0	1	0
-0.4939	0.113	0.838	0.049
-0.6124	0.312	0.688	0
0.8173	0	0.717	0.283
0.4003	0	0.821	0.179
0	0	1	0
0.128	0	0.958	0.042
0.4215	0	0.682	0.318
0.8493	0.053	0.624	0.323
0	0	1	0
0.5859	0	0.648	0.352
0.6892	0	0.893	0.107
0.3147	0	0.914	0.086
0.3818	0	0.658	0.342
0.1027	0	0.887	0.113
0.6361	0	0.839	0.161
-0.2732	0.149	0.851	0
0.1779	0	0.909	0.091
0.2732	0.122	0.717	0.161
0.296	0	0.862	0.138
0.2732	0	0.876	0.124
0	0	1	0
0	0	1	0
0.6682	0	0.801	0.199
0	0	1	0
-0.2263	0.128	0.872	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.4404	0.056	0.944	0
0.3182	0.09	0.762	0.148
0.4184	0.129	0.733	0.138
0	0	1	0
0	0	1	0
0	0	1	0
-0.4939	0.262	0.738	0
0.2944	0	0.785	0.215
0.3818	0	0.843	0.157
-0.0276	0.159	0.69	0.151
-0.0258	0.055	0.945	0
0	0	1	0
-0.4158	0.122	0.878	0
-0.2942	0.071	0.89	0.039
0.2023	0	0.87	0.13
0	0	1	0
-0.25	0.125	0.875	0
0	0	1	0
0.3182	0.076	0.798	0.125
0	0	1	0
0.6103	0.174	0.64	0.186
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.4939	0.262	0.738	0
0.2944	0	0.804	0.196
