Compound	Negative	Neutral	Positive
0	0	1	0
0	0	1	0
0.4728	0	0.864	0.136
0.4215	0	0.843	0.157
0	0	1	0
0.5574	0.056	0.789	0.154
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.6369	0	0.885	0.115
0.0772	0.135	0.717	0.148
-0.2023	0.096	0.904	0
-0.4219	0.147	0.853	0
0	0	1	0
-0.4939	0.286	0.714	0
0	0	1	0
0	0	1	0
0.4576	0	0.734	0.266
-0.1531	0.082	0.918	0
0.0717	0	0.846	0.154
0	0	1	0
-0.4158	0.284	0.716	0
0.128	0	0.909	0.091
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.5994	0	0.692	0.308
-0.197	0.069	0.931	0
-0.3774	0.292	0.565	0.143
0.0516	0.147	0.735	0.118
-0.2263	0.16	0.84	0
-0.2732	0.16	0.84	0
-0.3182	0.141	0.785	0.073
0.374	0	0.74	0.26
0.4939	0	0.792	0.208
0.5907	0	0.623	0.377
-0.0377	0	1	0
-0.2732	0.126	0.804	0.07
0.0516	0	0.806	0.194
0.0516	0	0.714	0.286
0.4939	0.101	0.674	0.225
0.7906	0	0.632	0.368
0.5082	0	0.63	0.37
0.0951	0	0.785	0.215
0.1027	0.049	0.892	0.059
0.5423	0	0.741	0.259
0	0	1	0
0.6289	0.051	0.618	0.331
-0.3182	0.099	0.901	0
0.2755	0	0.883	0.117
0.8129	0.036	0.707	0.257
-0.7783	0.218	0.782	0
-0.5141	0.084	0.916	0
0	0	1	0
0	0	1	0
0.128	0.085	0.81	0.105
0	0	1	0
-0.2003	0.152	0.848	0
-0.0377	0	1	0
0	0	1	0
-0.5256	0.22	0.78	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.2003	0	0.691	0.309
-0.2944	0.354	0.646	0
0	0	1	0
0.8628	0	0.608	0.392
-0.0271	0	1	0
-0.296	0.121	0.879	0
0.0516	0	0.833	0.167
-0.128	0.077	0.923	0
0	0	1	0
0	0	1	0
0.4926	0	0.816	0.184
0.0258	0	0.879	0.121
0	0	1	0
0.4784	0	0.78	0.22
0	0	1	0
-0.0271	0	1	0
-0.0377	0	1	0
-0.2755	0.156	0.748	0.096
-0.128	0.054	0.901	0.045
-0.2415	0.118	0.762	0.12
0.4404	0	0.851	0.149
0.0258	0.117	0.759	0.124
0	0	1	0
0.34	0	0.854	0.146
0.3595	0	0.814	0.186
0.4215	0	0.851	0.149
-0.0258	0.248	0.573	0.178
0.7777	0	0.874	0.126
-0.2263	0.214	0.629	0.157
-0.6908	0.192	0.808	0
