Compound	Negative	Neutral	Positive
compound:	0.296,	neg:	0.0,
compound: -0.6688	 neg: 0.157	 neu: 0.843	 pos: 0.0
compound: 0.1171	 neg: 0.149	 neu: 0.571	 pos: 0.28
compound: 0.0	 neg: 0.109	 neu: 0.781	 pos: 0.109
compound: 0.5719	 neg: 0.0	 neu: 0.793	 pos: 0.207
compound: 0.0428	 neg: 0.096	 neu: 0.726	 pos: 0.178
compound: -0.0516	 neg: 0.054	 neu: 0.946	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.1027	 neg: 0.131	 neu: 0.724	 pos: 0.145
compound: -0.5411	 neg: 0.164	 neu: 0.786	 pos: 0.05
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3802	 neg: 0.0	 neu: 0.909	 pos: 0.091
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3818	 neg: 0.0	 neu: 0.843	 pos: 0.157
compound: 0.4767	 neg: 0.088	 neu: 0.737	 pos: 0.176
compound: -0.2023	 neg: 0.101	 neu: 0.899	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.7717	 neg: 0.0	 neu: 0.438	 pos: 0.562
compound: 0.4019	 neg: 0.0	 neu: 0.816	 pos: 0.184
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3987	 neg: 0.0	 neu: 0.953	 pos: 0.047
compound: 0.5562	 neg: 0.0	 neu: 0.898	 pos: 0.102
compound: 0.5837	 neg: 0.0	 neu: 0.769	 pos: 0.231
compound: 0.3818	 neg: 0.0	 neu: 0.847	 pos: 0.153
compound: 0.9097	 neg: 0.0	 neu: 0.732	 pos: 0.268
compound: 0.2263	 neg: 0.0	 neu: 0.881	 pos: 0.119
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.2732	 neg: 0.114	 neu: 0.822	 pos: 0.064
compound: -0.2714	 neg: 0.096	 neu: 0.904	 pos: 0.0
compound: 0.6318	 neg: 0.0	 neu: 0.823	 pos: 0.177
compound: 0.7351	 neg: 0.0	 neu: 0.816	 pos: 0.184
compound: 0.3818	 neg: 0.0	 neu: 0.843	 pos: 0.157
compound: 0.6901	 neg: 0.0	 neu: 0.711	 pos: 0.289
compound: 0.4404	 neg: 0.0	 neu: 0.734	 pos: 0.266
compound: 0.6486	 neg: 0.0	 neu: 0.858	 pos: 0.142
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.4939	 neg: 0.113	 neu: 0.838	 pos: 0.049
compound: -0.6124	 neg: 0.312	 neu: 0.688	 pos: 0.0
compound: 0.8173	 neg: 0.0	 neu: 0.717	 pos: 0.283
compound: 0.4003	 neg: 0.0	 neu: 0.821	 pos: 0.179
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.128	 neg: 0.0	 neu: 0.958	 pos: 0.042
compound: 0.4215	 neg: 0.0	 neu: 0.682	 pos: 0.318
compound: 0.8493	 neg: 0.053	 neu: 0.624	 pos: 0.323
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.5859	 neg: 0.0	 neu: 0.648	 pos: 0.352
compound: 0.6892	 neg: 0.0	 neu: 0.893	 pos: 0.107
compound: 0.3147	 neg: 0.0	 neu: 0.914	 pos: 0.086
compound: 0.3818	 neg: 0.0	 neu: 0.658	 pos: 0.342
